Error,Fingerprint Selection,NN Type
2.133327755,All,SNN
2.095332305,All,SNN
2.114174314,All,SNN
2.307389353,All,SNN
2.096337975,All,SNN
2.257303236,All,SNN
2.055550411,All,SNN
2.103340669,All,SNN
2.033256062,All,SNN
2.386531658,All,SNN
2.223000015,All,SNN
2.109258349,All,SNN
2.026965996,All,SNN
2.038979253,All,SNN
2.703573205,All,SNN
2.437117616,All,SNN
2.025567829,All,SNN
2.086912518,All,SNN
2.052496315,All,SNN
2.067140948,All,SNN
2.273304074,All,SNN
2.074279966,All,SNN
2.096232828,All,SNN
2.039452627,All,SNN
2.044912964,All,SNN
3.131188711,All,SNN
2.075762504,All,SNN
2.012043034,All,SNN
2.227283262,All,SNN
2.184539484,All,SNN
2.412741397,Random,SNN
2.338312885,Random,SNN
2.251268974,Random,SNN
2.256500349,Random,SNN
2.283880411,Random,SNN
2.138410455,Random,SNN
2.343321377,Random,SNN
2.236482627,Random,SNN
2.1628089,Random,SNN
2.438952139,Random,SNN
2.3617176,Random,SNN
2.218392246,Random,SNN
2.220111053,Random,SNN
2.248805128,Random,SNN
2.514335259,Random,SNN
2.256158913,Random,SNN
2.209071722,Random,SNN
2.276084867,Random,SNN
2.367555121,Random,SNN
5.05196018,Random,SNN
2.270164692,Random,SNN
2.266427408,Random,SNN
2.41488533,Random,SNN
2.236714448,Random,SNN
2.444832591,Random,SNN
2.385974314,Random,SNN
2.318618386,Random,SNN
2.3165838,Random,SNN
2.452777032,Random,SNN
2.072090495,Random,SNN
2.22536307,All,DNN
2.053123606,All,DNN
2.049738313,All,DNN
2.237540468,All,DNN
2.072469953,All,DNN
2.25868766,All,DNN
2.138118842,All,DNN
2.111079435,All,DNN
2.221532196,All,DNN
2.096004755,All,DNN
2.161775123,All,DNN
2.120033644,All,DNN
2.22779474,All,DNN
2.204387341,All,DNN
2.272394719,All,DNN
2.165807295,All,DNN
2.187790446,All,DNN
2.200173296,All,DNN
2.210509465,All,DNN
2.306390932,All,DNN
2.244041677,All,DNN
2.329369886,All,DNN
2.149394431,All,DNN
2.389372575,All,DNN
2.185977346,All,DNN
2.257287152,All,DNN
2.082679937,All,DNN
2.171472689,All,DNN
2.212380811,All,DNN
2.231130235,All,DNN
2.303501373,Random,DNN
2.280830104,Random,DNN
2.355421525,Random,DNN
2.273161023,Random,DNN
2.224961717,Random,DNN
2.317937991,Random,DNN
2.249634527,Random,DNN
2.316499681,Random,DNN
2.384384522,Random,DNN
2.209481048,Random,DNN
2.278763922,Random,DNN
2.362347857,Random,DNN
2.417586858,Random,DNN
2.171710502,Random,DNN
2.332166632,Random,DNN
2.252591766,Random,DNN
2.399067786,Random,DNN
2.460793231,Random,DNN
2.206113345,Random,DNN
2.152724475,Random,DNN
2.350169821,Random,DNN
2.26913676,Random,DNN
2.250520737,Random,DNN
2.256074207,Random,DNN
2.406607645,Random,DNN
2.076518793,Random,DNN
2.084590002,Random,DNN
2.350125109,Random,DNN
2.376454815,Random,DNN
2.422371127,Random,DNN
2.269548479,Active,DNN
2.202874481,Active,DNN
2.25064814,Active,DNN
2.245649831,Active,DNN
2.23844255,Active,DNN
2.259419953,Active,DNN
2.245421546,Active,DNN
2.173138207,Active,DNN
2.196801985,Active,DNN
2.25326909,Active,DNN
2.277763968,Active,DNN
2.182139331,Active,DNN
2.162820424,Active,DNN
2.184357297,Active,DNN
2.229495478,Active,DNN
2.192774907,Active,DNN
2.266766969,Active,DNN
2.220095391,Active,DNN
2.301956169,Active,DNN
2.261190478,Active,DNN
2.221454081,Active,DNN
2.288150754,Active,DNN
2.249382108,Active,DNN
2.138902569,Active,DNN
2.21461335,Active,DNN
2.335202747,Active,DNN
2.268841454,Active,DNN
2.32205191,Active,DNN
2.502739814,Active,DNN
2.386168285,Active,DNN
2.523010776,Active,DNN
2.340131993,Active,DNN
2.646158603,Active,DNN
2.287362771,Active,DNN
2.449426759,Active,DNN
2.28527926,Active,DNN
2.295546888,Active,DNN
2.351203182,Active,DNN
2.275720795,Active,DNN
2.238745058,Active,DNN
2.27215753,Active,DNN
2.238173773,Active,DNN
2.200142007,Active,DNN
2.241556735,Active,DNN
2.293672371,Active,DNN
2.353133798,Active,DNN
2.331385404,Active,DNN
2.318239703,Active,DNN
2.245348303,Active,DNN
2.255534751,Active,DNN
2.190913554,Active,DNN
2.211057124,Active,DNN
2.221368711,Active,DNN
2.234871474,Active,DNN
2.223111056,Active,DNN
2.207915544,Active,DNN
2.228349884,Active,DNN
2.194698564,Active,DNN
2.171284791,Active,DNN
2.090001365,Active,DNN
2.045839626,Active,DNN
2.011027298,Active,DNN
2.13328607,Active,DNN
2.00276086,Active,DNN
2.05956938,Active,DNN
2.06134414,Active,DNN
2.113827725,Active,DNN
1.980053111,Active,DNN
2.390454925,Active,DNN
2.314852056,Active,DNN
2.36842741,Active,DNN
2.283666866,Active,DNN
2.333321123,Active,DNN
2.253449361,Active,DNN
2.357027119,Active,DNN
2.337672664,Active,DNN
2.286036973,Active,DNN
2.285833131,Active,DNN
2.232572927,Active,DNN
2.232357327,Active,DNN
2.194399383,Active,DNN
2.074739283,Active,DNN
2.332071828,Active,DNN
2.164432343,Active,DNN
2.237059025,Active,DNN
2.232587581,Active,DNN
2.151121801,Active,DNN
2.295186843,Active,DNN
2.257124064,Active,DNN
2.346886187,Active,DNN
2.420453373,Active,DNN
2.338233174,Active,DNN
2.312767227,Active,DNN
2.246257594,Active,DNN
2.358359742,Active,DNN
2.323212542,Active,DNN
2.311438687,Active,DNN
2.302104741,Active,DNN
2.054556581,Active,SNN
2.060447781,Active,SNN
2.061599114,Active,SNN
2.161646795,Active,SNN
2.051430361,Active,SNN
2.045455812,Active,SNN
2.086569974,Active,SNN
2.04008234,Active,SNN
2.142123221,Active,SNN
2.014556551,Active,SNN
2.013013675,Active,SNN
2.037835204,Active,SNN
2.057682098,Active,SNN
2.078124199,Active,SNN
2.089529236,Active,SNN
2.014902468,Active,SNN
2.011884601,Active,SNN
2.100267187,Active,SNN
2.118926656,Active,SNN
2.175565934,Active,SNN
2.151400639,Active,SNN
2.097937428,Active,SNN
2.089698295,Active,SNN
2.163828687,Active,SNN
2.149397682,Active,SNN
2.159992847,Active,SNN
2.084407603,Active,SNN
2.103140541,Active,SNN
2.219597955,Active,SNN
2.100745079,Active,SNN
2.216449707,Active,SNN
2.035564012,Active,SNN
2.111123252,Active,SNN
2.228470234,Active,SNN
2.15841699,Active,SNN
2.195588689,Active,SNN
2.124806929,Active,SNN
2.14316507,Active,SNN
2.474712143,Active,SNN
2.175878467,Active,SNN
2.676952964,Active,SNN
2.175794151,Active,SNN
2.199992279,Active,SNN
2.173538666,Active,SNN
2.232180895,Active,SNN
2.127580399,Active,SNN
2.459611945,Active,SNN
2.211297788,Active,SNN
2.064746353,Active,SNN
2.100327147,Active,SNN
2.185216953,Active,SNN
2.16496279,Active,SNN
2.118067905,Active,SNN
2.101192325,Active,SNN
2.097732893,Active,SNN
2.143756081,Active,SNN
2.052046009,Active,SNN
2.104502519,Active,SNN
2.192083265,Active,SNN
2.126353112,Active,SNN
2.132583378,Active,SNN
2.220077563,Active,SNN
2.131287893,Active,SNN
2.184394884,Active,SNN
2.209057958,Active,SNN
2.16896611,Active,SNN
2.137919558,Active,SNN
2.158844735,Active,SNN
2.106651691,Active,SNN
2.124794875,Active,SNN
2.125678383,Active,SNN
2.116784329,Active,SNN
2.106777828,Active,SNN
2.078407289,Active,SNN
2.05456584,Active,SNN
2.14305761,Active,SNN
2.160249061,Active,SNN
2.134031589,Active,SNN
2.15008231,Active,SNN
2.109601672,Active,SNN
2.188465016,Active,SNN
2.182642463,Active,SNN
2.155236641,Active,SNN
2.146001926,Active,SNN
2.153905111,Active,SNN
2.143261999,Active,SNN
2.120498674,Active,SNN
2.155420793,Active,SNN
2.18014311,Active,SNN
2.259026206,Active,SNN
2.34078885,Active,SNN
2.256714876,Active,SNN
2.213017485,Active,SNN
2.294898711,Active,SNN
2.281868189,Active,SNN
2.152255616,Active,SNN
2.285454345,Active,SNN
2.261834511,Active,SNN
